grupo	cancion	letra
Él mató a un policía motorizado	El Héroe De La Navidad	Ellos chocan sus autos enfrente|Nuestro y esperan la|Atención de todos, siempre|Y yo acá, sangrando vas|El héroe y la muerte están|Brillando en la arena|
Él mató a un policía motorizado	El Magnetismo	¿Quién te va a cuidar?|En este mundo peligroso tenemos que estar juntos|¿Quién detendrá a la turba iracunda|Si no estoy con vos, nena?|Con este magnetismo que sigue bajando, nena|
Él mató a un policía motorizado	El Mundo Extraño	No sé que pasa en este lugar|Todo el mundo es más joven que yo|Empujé buenos recuerdos pensando en nada|Parado en la puerta con vos|Ya sé tu animo está por cambiar|Te miré desde el asiento de atrás|Tu novio es un sujeto tan agradable|Pero nunca para de hablar|Quiero estar con vos, que me quieras así|Liquidado estoy, esperando hasta el fin|Sé que es lo peor|Pero esta es la mejor versión de mi||Por qué? por qué te vas sin avisar?|Tus vecinos siempre me miran mal|No ignores la belleza de este mundo extraño|Igual lo entendés y haces la que no sabés|Quiero estar con vos, que me quieras así|Liquidado estoy, esperando hasta el fin|Sé que es lo peor|Pero esta es la mejor versión de mi|Quiero estar con vos, que me quieras así|Liquidado estoy, esperando hasta el fin|Sé que es lo peor|Pero esta es la mejor versión de mi|
Él mató a un policía motorizado	El Perro	Busco a mi perro perdido|Se escapó con los ruidos|De esta oscura fiesta infernal|De esta oscura fiesta infernal|No te vayas de mi|Ya no quiero estar solo|Suave como una noche de Verano|Puedo rendirme pero no quiero ser como era antes|Busco a mi perro perdido|Se escapó con los ruidos|De esta oscura fiesta infernal|De esta oscura fiesta infernal||[?]|[?]|No te vayas de mi|Ya no quiero estar solo|Suave como una noche de Verano|Puedo rendirme pero no quiero ser como era antes|Donde estás amigo?|Yo te necesito|Donde estás amigo?|Donde estás amigo?|Donde estás amigo?|Yo te necesito|Donde estás amigo?|Donde estás amigo?||Donde estás?|Donde estás?|
Él mató a un policía motorizado	El Rey De La TV Italiana	El es rey, el rey de la tv italiana|Guiando mi propio poder, duplicando el poder|Guiando mi propio poder, duplicando el poder|Guiando mi propio poder, duplicando el poder|
Él mató a un policía motorizado	El Tesoro	Ay, paso todo el día pensando en vos|Ay, que hay de mal en todo esto|Ay, paso todo el día pensando en vos|Ay, vos pensas que pierdo el tiempo|Perdón si estoy de nuevo acá|Pensé que habías preguntado por mi|Me gusta estar de nuevo acá|Aunque no hayas preguntado por mi|Voy a quedarme un poco acá|Cuidarte siempre a vos en la derrota|Hasta el final, el final|Ay, todo lo que hago es para vos|Ay, el tesoro se está hundiendo|Ay, todo lo que hago es para vos|Ay, vos pensas que pierdo el tiempo||Perdón si estoy de nuevo acá|Pensé que habías preguntado por mi|Me gusta estar de nuevo acá|Aunque no hayas preguntado por mi|Voy a quedarme un poco acá|Cuidarte siempre a vos en la derrota|Hasta el final, el final|Es la depresión sin épica|La depresión sin épica|
Él mató a un policía motorizado	El Último Sereno	La luz de la luna entra por las ventanas del galpón|Y se refleja en las miles de cajas|Ayer vi una película sobre el fin y los últimos días|Sobre dios, sobre el bien y el mal|Y me pregunto que hago tan solo acá|Quiero caminar atrás del rincón oscuro|Y quiero sentir temor|Quiero caminar más allá del hoyo oscuro|Y quiero sentir temor|
Él mató a un policía motorizado	Escupime	Desde el ascensor hasta mí, ella piensa en él|Mientras yo le enseño a escupir, otra vez|Otra vez, otra vez|
Él mató a un policía motorizado	Excálibur	Por qué tuviste que decirme eso?|Por qué?|Por qué?|Por qué?|Por qué tuviste que decirme eso?|Por qué?|Por qué?|Por qué?|Por qué?|Por qué?|Por qué?|Por qué?||Por qué?|
Él mató a un policía motorizado	Fuego	Desde el pueblo más lejano de acá|Siguiéndote|Vamos esta noche puede ser mejor|Mirándote|Desde el pueblo más lejano de acá|Siguiéndote|Vamos esta noche puede ser mejor|Mirándote|Hey, hey, hey|No te duermas|Hey, hey, hey|No te duermas||Desde el pueblo más lejano de acá|Siguiéndote|Vamos esta noche puede ser mejor|Mirándote|Desde el pueblo más lejano de acá|Siguiéndote|Vamos esta noche puede ser mejor|Mirándote|Hey, hey, hey|No te duermas|Hey, hey, hey|No te duermas|Todo el universo depende de eso|Todo el universo depende de eso|Todo el universo depende de eso|Todo el universo depende de eso||Hey, te fuiste y donde estás?|Ahora|Hey, te fuiste y donde estás?|Ahora|Perdoname|Perdoname|Perdoname|Perdoname|Ahora soy mejor|Te juro soy mejor|Ahora soy mejor|Te juro soy mejor|Ahora soy mejor|Te juro soy mejor|Ahora soy mejor|Te juro soy mejor||Ahora soy mejor|Te juro soy mejor|Ahora soy mejor|Te juro soy mejor|Ahora soy mejor|Te juro soy mejor|Ahora soy mejor|Te juro soy mejor|
Él mató a un policía motorizado	Guitarra Comunista	Ella escucha otra vez|Mientras esconde el cable y la tv|Tan perfecta que sé|Con su guitarra roja ella podría ver|Que nadie la merece|Ni yo que soy el mejor|Mis amigos se van|Y sé que ya no volverán|Ella escucha otra vez|Mientras no mienta estará todo bien|Nadie la merece|Ni yo que soy el mejor||
Él mató a un policía motorizado	La Cara En El Asfalto	Te ves en las fotos, y ves que todo cambió, oh|Te ves en las fotos, y ves que todo cambió, pequeña|Ellos te quieren tal así como sos|Todos te quieren tal así como sos|Buenos noches, buenas noches, no lo echemos a perder|Nuestro sábado, buenas noches, todo es como debe ser||
Él mató a un policía motorizado	La Celebración Del Fuego	Cuéntame esa historia, mi señor Jesús|Anarquía y descontrol en la celebración|Muertos nuevos en tu mente, mi señor|Jesús|Muertos nuevos en tu reino, mi señor|Jesús|Hey otra vez todo lo bueno se te fue|Hey otra vez todo lo bueno se te fue|Hey otra vez|Todo lo bueno se te fue|Hey otra vez todo lo bueno se te fue|Hey otra vez todo lo bueno se te fue||En el juicio final quiero verte mi señor|En el juicio final|En diciembre final será un nuevo amanecer|Para la galaxia|Intermedio|Hey otra vez todo|
Él mató a un policía motorizado	La Cobra	Si despierto, quiero ver la luz de nuevo|Si despierto, dame de comer adentro|No me mientas|Quiero vivir con vos, quiero vivir con vos|
Él mató a un policía motorizado	La Noche Eterna	Hoy, voy a salir a buscar|Todo lo que quiero|Voy a derrumbar mi casa|Y a empezar de nuevo|Todos se encondieron ya|Bajo la noche eterna|Sé que el cosmos cuida|A todos por igual|Dame algo esta noche|Esta noche es especial|Voy a recorrer tu casa|En la oscuridad||Dame algo esta noche|Esta noche es especial|Tan brillante como el oro|En la oscuridad|Hoy, voy a salir a robar|Todo lo que quiero|Voy a derrumbar mi casa|Y a empezar de nuevo|Todos se encondieron ya|Bajo la noche eterna|Sé que el cosmos cuida|A todos por igual|Dame algo esta noche|Esta noche es especial|Voy a recorrer tu casa|En la oscuridad||Dame algo esta noche|Esta noche es especial|Tan brillante como el oro|En la oscuridad|Esta vez voy a ser|Lo que yo quiero ser|Esta vez voy a ser|Lo inesperado a ser|Dame algo esta noche|Esta noche es especial|Voy a recorrer tu casa|En la oscuridad|Dame algo esta noche|Esta noche es especial|Tan brillante como el oro|En la oscuridad||
Él mató a un policía motorizado	La Síntesis O'Konor	(Instrumental).|
Él mató a un policía motorizado	Las Luces	La casa de las luces que estallan|Buscando recompensar|Y toda la gente que se junto ahí|Tan fria|Rezamos sobre el río sin agua|Buscando recompensar|Y todo el tiempo que reunimos así|Con ira|La casa de las luces que estallan|Buscando recompensar|Y toda la gente que se junto ahí|Tan fria||En el cielo todo es rocas y lava|Buscando recompensar|Y todo el tiempo que reunimos así|Con ira|
Él mató a un policía motorizado	Lenguas De Fuego En El Cielo	Es tu luz que pisa en el mar|Ilumina las caras de todos|Es tu mano gigante en el cielo, gigante en el cielo|Gigante lluvia eterna|Quiero pedir perdón|Es tu luz que pisa en el mar|Ilumina las caras de todos|Es tu mano gigante en el cielo, gigante en el cielo|Gigante lluvia eterna||Quiero pedir perdón|Quiero pedir perdón|Quiero pedir perdón|
Él mató a un policía motorizado	Madre	Madre, todos ya se fueron esta noche|Ahora los escucho hablar de lejos y reír|Las mañanas y las noches van a ser todas para vos|Las mañanas y las noches van a ser todas para vos|Ayúdame a despertar del sueño oscuro, ayúdame|Ayúdame a despertar del sueño oscuro, ayúdame||
Él mató a un policía motorizado	Más O Menos Bien	Amigo, no llores por las noches|Es hora de buscar lo esencial|Nena, ayer fueron muy duros tus reproches|No importa más o menos todo sigue igual|Mas, no te preocupes tanto|Todo va a estar más o menos bien|Pa, necesito un poco de plata|Para que todo siga más o menos bien|Más o menos bien|Amigos, formemos una banda de rocanrol|Guitarras guardadas en el placard|Ahora somos nuevos creadores de rocanrol|Tranquilos, todo va a estar más o menos bien|Más o menos bien||Desconocido, espero tus problemas se acaben|Y así volver a la senda del bien|Desconocido, dobla tu energía en partes iguales|Y todo va a estar más o menos bien|Mirando la comida ya fría|No creo que esté hecha con amor|No importa, hoy celebraremos como familia|Que más o menos sigue como quiero yo|Más o menos bien|
Él mató a un policía motorizado	Mi Próximo Movimiento	Voy a subir al techo a ver, a mirar el desastre|Bajo la luz, de la luna gigante|Ellos lloran abajo del árbol, arriba del árbol detrás del árbol|Tube miedo pero ya se fue|Ahora estoy arriba de mi casa con un rifle|Ahora estoy arriba de mi casa con un rifle|Ahora estoy arriba de mi casa con un rifle|Ahora estoy arriba de mi casa con un rifle|Voy a subir al techo a ver, a mirar el desas||
Él mató a un policía motorizado	Mujeres Bellas y Fuertes	Gritos toda la noche|El vecino y un cuerpo|Por el camino de tierra, te vas|Mujeres bellas y fuertes se han ido mi amigo|Y no volverán|
Él mató a un policía motorizado	Navidad En Los Santos	Te persigue la policía, en navidad|Te persigue la policía, el día de navidad|Es la fiesta que te prometí|
Él mató a un policía motorizado	Noche De Los Muertos	Noche de los muertos|En la ciudad el infierno|El caos para mi mente|Y no puedo pensar|La noche de los muertos|
Él mató a un policía motorizado	Noche Negra	Ella me hablo|Mucho esta vez|De sus viajes|Por el oeste|Fuegos de artificio brillan|Sobre el cielo del desierto|Noche negra lejos de casa|Ella me hablo|Mucho esta vez|De sus viajes|Por el oeste||Fuegos de artificio brillan|Sobre el cielo del desierto|Noche negra lejos de casa|Bajo la noche negra juntos|Juntos bajo la noche|
Él mató a un policía motorizado	Noches Buenas	Estrellas de verdad|Sidra en vasos de metal|Estrellas de verdad|Sin pensar y sin hablar|Estrellas de verdad|Sidra en vasos de metal|En la mesa olvidarán|Buena noche|Buena noche|
Él mató a un policía motorizado	Nuestro Verano	Nuestro día no termina|Piensen todos, es nuestro día|Nuestro verano|
Él mató a un policía motorizado	Nuevos Discos	Mi día favorito del mes|Espero que te encuentres muy bien|En tu nueva casa con él|Con su risa que no se va|Nuevos discos, nuevas drogas|Nuevos discos, nuevas drogas|
Él mató a un policía motorizado	Postales Negras	(Instrumental).|
Él mató a un policía motorizado	Prenderte Fuego	Prenderte fuego es lo que quiero|Estar tranquilo prendiendo fuego|Ojos que brillan, están subiendo|Estar tranquilo es lo que quiero|Prenderte fuego, están subiendo|Estar tranquilo prendiendo fuego||
Él mató a un policía motorizado	Provincia De Buenos Aires	(Instrumental).|
Él mató a un policía motorizado	Rey Del Terror	Amanece con los muertos|Te deseo buena suerte|Rey del terror, salón de espejos|Juntemos todo nena|Hace mucho calor acá|Rey del terror, salón de espejos|No tengas miedo|Nena, es hora del nuevo despertar||
Él mató a un policía motorizado	Rock Espacial	Vacaciones en mi habitación|Es el rock espacial que me despertó|Vestida para el éxito ni me saludás|Gastando energía mental cuando te vas|Mi soledad se va, destruye todo lo que hay|Bajamos por el sótano y me mostrás|Ropa vieja de color que coleccionás|No quiero verte con otros jugar|Los manifiestos del futuro no me explicás|Mi soledad se va, destruye todo lo que hay||
Él mató a un policía motorizado	Rucho	(Instrumental).|
Él mató a un policía motorizado	Sábado	Sábado, en mi cama|Sábado, en mi cama|Y si te invito a jugar, me dirás que no|Me dirás que no|Y si te invito a dormir, me dirás que no|Me dirás que no|
Él mató a un policía motorizado	Sobredosis De Droga	Sobredosis, vamos a pelear|Calaveras te persiguen nena|No te vayas no me grites más|No llores nena, vamos a escapar|Quiero que entiendas no voy a decirte lo más, no|Quiero que entiendas no voy a decirtelo más|Nunca más|
Él mató a un policía motorizado	Terror	No tengas miedo|Sos un reprimido como todos los demás|No tengas miedo|Tu mente es muy frágil como todas las demás|No tengas miedo, no tengas miedo|No tengas miedo, no tengas miedo|
Él mató a un policía motorizado	Terrorismo En La Copa Del Mundo	Si vienen a buscarme, estoy dormida|
Él mató a un policía motorizado	Tormenta Roja	Es igual hoy para empezar, para llamarte a vos|Te digo que no, no importa, por qué no estás conmigo hoy|No estás conmigo hoy, no estas conmigo|Son para mi regalos de vos, mirando el piso asustado|Son para mi regalos de vos, hoy toca estar juntos los dos|
Él mató a un policía motorizado	Un Millón De Euros	Era una voz lejos de acá|Y discribió un millón de euros|Suspiros de felicidad|Mi casa está en el desierto|En sus manos brillara velocidad|
Él mató a un policía motorizado	Vestida De Poder	Frio letal|Se termino|La noche|Vos me hablas|De tus amigos, nuevos|Y no quiero esperar|Que empiece el nuevo dia|Y no quiero esperar|Que empiece el nuevo dia||Quiero viajar|Por calles internas|Saliendo de la ciudad|Vestido de poder|Tenes lo que vos querias|Y ahora ya no lo queres mas|Tenes lo que vos querias|Y ahora ya no lo queres mas|Frio letal|Se termino la noche|Vos me hablas, de tus amigos nuevos|Y no quiero esperar|Que empiece el nuevo dia|Y no quiero esperar que empiece el nuevo dia||Quiero viajar|Por las calles internas|Saliendo de la ciudad|Vestido de poder|Tenes lo que vos querias|Y ahora ya no lo queres mas|Tenes lo que vos querias|Y ahora ya no lo queres mas|Tenes lo que vos querias|Y ahora ya no lo queres mas|Tenes lo que vos querias|Y ahora ya no lo queres mas|
Él mató a un policía motorizado	Viejo Ebrio y Perdido	Viejo perdido|Pelearemos viejo perdido|En las calles|Hoy se escuchara las canciones|De la navidad|Viejo ebrio y perdido|
Él mató a un policía motorizado	Vienen Bajando	Vienen bajando las multitudes quietas|Vienen bajando las multitudes quietas|Con su espalda rota en los festejos de primavera|Con su espalda rota en los festejos de primavera|
Él mató a un policía motorizado	Villancico Del Final	Calor que quema|Se termina la noche|No va a volver|Vas a llorar|Sos un blando|Y quema|
Él mató a un policía motorizado	Violencia	En tus ojos|La violencia|Vos mirame|Vos mirame|En tus manos|La violencia|Abrazame|Abrazame|Este día que me regalas|Este día que me regalas|Este día que me regalas|Este día que me regalas||En tus ojos|La violencia|Vos mirame|Vos mirame|En tus manos|La violencia|Abrazame|Abrazame|Este día que me regalas|Este día que me regalas|Este día que me regalas|Este día que me regalas|Este día que me regalas|Este día que me regalas|Este día que me regalas|Este día que me regalas||
Él mató a un policía motorizado	Yoni B	Yoni, donde estás?|Te extrañamos|Donde estás?|En la nueva escuela rezan|Todos los amigos que te esperan|Te esperan Yoni|
