grupo	cancion	letra
Peligrosos Gorriones	Señor Marfil	dónde vas, señor marfil?|sube al ring|¿quién serás, detrás de ti|y aquel festín?|tu mujer es el relleno de pavo|inflas un globo que se hincha en tu mano|la brasa del agua se derrite en tu boca, el sabor|¿dónde vas, señor marfil?|sube al ring|¿quién serás, detrás de ti|y aquel festín?|tu mujer es el relleno de pavo|inflas un globo que se hincha en tu mano|la brasa del agua se derrite en tu boca, el sabor|tu mujer es el relleno de pavo|inflas un globo que se hincha en tu mano|la brasa del agua se derrite en tu boca|y tu mujer es el relleno de pavo|inflas un globo que se hincha en tu mano|la brasa del agua se derrite en tu boca, el sabor|¿dónde vas?|¿dónde vas?|¿dónde vas?…
Peligrosos Gorriones	Se que el Tiempo	Se que el tiempo te trajo a mi facilmente quiero seguir Asi… se esta mejor Aqui durmiendonos Esta vez puedes escuchar Si las cosas que brillan mas Estan… lejos de aqui se ven detras ti Es tan dulce que en mis labios quedo Se destruyen estas piedras que es hoy Sin que hables lo entiendo igual y denuevo ves este mal que va igual que yo que esta abrazandonos Es tan dulce que en mis labios quedo Se destruyen estas piedras que es hoy Estas piedras… Volveran La canción suena mucho mejor …
Peligrosos Gorriones	Salvaje	Madre circular espío tus ojos y comienzo a nadar|Padre circular con lobos instintos me apresuro a danzar|Busco el sensor que todo lo quiebra y subo fuerte hasta el sol|Puente celestial la máquina pide sangre y cruel a matar|Tu desnudez salvaje de grúa en el mar perfecto y supremo lucha|desigualdad Voy a resistir llegando a tu cuerpo puedo el viento sentir lluvia|eterna completa mi vida quiero al fuego llegar|Sigo sin cordón los árboles secos pueden algo exigir|Llenos de piedad Actúa, acaricia y siente gravedad|Océano en tu alma señales desde el mar|Perfecto y supremo lucha desigualdad|La máscara del terror te avisa de puros los poros te suavizan|La pupila, la nación te quita vida|La máscara de terror te invita|No te pierdas que te espero|Con mis cuerdas de puro reflejo.
Peligrosos Gorriones	Por Tres Monedas	En esta noche, por tres monedas, vendo mi amor|ya no me importa lo que indique mi corazón|Pues me ha traicionado, me ha lastimado sin ninguna razón|por no saber amar, por no cuidarme mal de desengaños|En un minuto más me entregaré al placer    de algun extraño|Cómo me han maltrado, yo creo que es más fácil beber para olvidar|Qué será de mi amor|En esta noche|Ya no estará mi amor|desde esta noche|desde esta noche|desde esta noche      desde esta noche      desde esta noche|desde esta noche
Peligrosos Gorriones	Microbio	Tuve una visión|Ya sin dimensiones|Participe y me fui tras un juego|Cumplo una misión|El día sin fecha|Desde el color salto y voy tras un sabor|Creo estar sin vos|Es esto que ocurre|Yo no soy vos, ya no sos igual a vos|Cumplo una misión|El día sin fecha|Desde el color salto y voy tras un sabor|Tuve una visión|Ya sin dimensiones|Participe y me fui tras un juego|Cumplo una misión|El día sin fecha|Desde el color salto y voy tras un sabor|Sabor…|El tiempo está y se detuvo|Entiendo el espacio que crean|Tambor, viento y velas|El tiempo está y se detuvo|Entiendo el espacio que crean|Tambor, viento y velas|El tiempo está y se detuvo|Entiendo el espacio que crean|Tambor, tambor|El tiempo está y se detuvo|Entiendo el espacio que crean|Tambor, tambor|El tiempo está y se detuvo|Entiendo el espacio que crean|Tambor, tambor
Peligrosos Gorriones	Me Extingo	Un poco con sueño|Un poco con sida|Ojala que se quiebren,se enfria mi vida|Solo una serpiente|Engorda y se pierde|Azul el azufre|O Muerto y me muero|Y me  Extingo no doy mas de mi|Y me  Extingo no doy mas de mi|Y me  Extingo no doy mas de mi|Un poco con sueño|Un poco con sida|Ojala que se quiebren,se enfria mi vida|Solo una serpiente|Engorda y se pierde|Azul el azufre|O Muerto y me muero|Y me  Extingo no doy mas de mi|Y me  Extingo no doy mas de mi|Y me  Extingo no doy mas de mi
Peligrosos Gorriones	Marosa	Levemente azul era la virgen|Casi invisible con su collar|Mil estrellas caen al jardín|Se deslizan por su vientre|Y ella estaba por venir|Recojo lo que queda|Y le salieron dientes|Enormes velozmente|Recuerda su nacimiento|Roba y celeste se va a volver|Ahora se posó sobre una hoja|Mostrando su clavel y sus caras|Había oscurecido y abrió las piernas|Ojos de hombre y pies de mar|Ahora se poso sobre una hoja|Nueva y celeste se va a volver|Y ella estaba por venir|Recojo lo que queda|Y le salieron dientes|Enormes velozmente|El cielo que tembló|Llueve sobre el cuchillo|Ya sin ninguna planta|Puede el jardín sangrar|Y ella estaba por venir|Recojo lo que queda|Y le salieron dientes|Enormes velozmente
Peligrosos Gorriones	Mañanitas	Mañanitas,de sombra y luz,|de charla y sol,de tierra y sal,|meare un rincon con pis,|la union en la pared marron|Soy cascara, Soy mascara|Soy charlatan, soy cuerpo|brillante luna de arrabal|la calle es de adoquin|Si, me hare burlete para el porton|ventana, canaleta y chapon|o diente de cazon y de tiburon|X2|Mañanitas,de sombra y luz,|de charla y sol,de tierra y sal,|meare un rincon con pis,|la union en la pared marron|Soy cascara, Soy mascara|Soy charlatan, soy cuerpo|brillante luna de arrabal|la calle es de adoquin|Si, me hare burlete para el porton|ventana, canaleta y chapon|o diente de cazon y de tiburon
Peligrosos Gorriones	Manicomio Gris	Soy el manicomio gris,|soy el velatorio en si.|Te doy una porción de mi.|Te doy de mi materia gris,|el gris.|Y yo quisiera golpearla a usted.|No quisiera golpearla a usted.|Yo quisiera golpearla a usted.|Soy el velatorio gris.|Soy el manicomio en si,|con la enfermedad del llanto.|Que me golpea tanto.|Salto al nacer y ensancho.|Mi figura la escultura.|La carne|del cuerpo pura, locura.|Y yo quisiera golpearla a usted.|Yo quisiera golpearla a usted.|No quisiera golpearla a usted.|Nuestra casa fue una aldea,|de desprotegidos.|Nuestra cama fue un ardor,|no te ha parecido?|Recostado y quiero volver|a la cancion y logro hacerlo.|No te preocupes|lo puedo correr|si se te escapa el cuerpo.|Del manicomio gris.|manicomio gris. x 12
Peligrosos Gorriones	La Mordida	Mientes porque es verdad|te quieres desenroscar|bueno veamos linterna y as de espadas|gente que hare hablar|un puente de charco que hay|mil formas de cruzar|son chorros de verdad|. Villa de misa y pan la mordida la lombriz negra vi el cuchillo la inundacion fuerte y limpio.|gente que hare hablar|un puente de charco que hay|mil formas de cruzar|son chorros de verdad|Pajarito de inundación fuerte y limpio el eucaliptus se han robado a si mismos toda la voz y atan cabos de mi a un lugar.|Esa es la gente que hare hablar un puente de charco que hay mil formas de cruzar son chorros de verdad.|Esa es la gente que hare hablar un puente de charco que hay mil formas de cruzar son chorros de verdad
